date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,tolerance_retry,status,terminal_soc
2025-04-01,6,11151.801930122834,0.06496869999682531,0,53,0,0,144,1,0,0,1200.0
2025-04-01,12,15450.418261984016,0.6335707000107504,0,55,0,0,144,1,0,0,1200.0
2025-04-01,18,39527.32621199341,0.8270067999983439,0,50,0,0,144,1,0,0,1200.0
2025-04-02,0,44504.030828844385,0.16115860000718385,0,38,0,0,144,1,0,0,1200.0
2025-04-02,6,12600.617182671158,0.2503032000095118,0,48,0,0,144,1,0,0,1200.0
2025-04-02,12,14845.86946342382,0.1685695000051055,0,59,0,0,144,1,0,0,1200.0
2025-04-02,18,22069.57300338014,0.3862980999983847,0,61,0,0,144,1,0,0,1200.0
2025-04-03,0,45782.35918179047,0.1424780999950599,0,36,0,0,144,1,0,0,1200.0
2025-04-03,6,6940.175509938744,0.7000652999995509,0,26,0,0,144,1,0,0,1200.0
2025-04-03,12,8371.156446237354,0.2345534000050975,0,33,0,0,144,1,0,0,1200.0
2025-04-03,18,10181.785040375677,0.13216470000043046,0,22,0,0,144,1,0,0,1200.0
2025-04-04,0,18438.14562630759,0.058629300008760765,0,6,0,0,144,1,0,0,1200.0
2025-04-04,6,7628.532960667189,0.23360460001276806,0,25,0,0,144,1,0,0,1200.0
2025-04-04,12,10224.52833313041,1.1500330999988364,0,33,0,0,144,1,0,0,1200.0
2025-04-04,18,9257.903673388126,0.5308206000045175,0,46,0,0,144,1,0,0,1200.0
2025-04-05,0,17440.33451696345,0.212116499998956,0,4,0,0,144,1,0,0,1200.0
2025-04-05,6,10418.155425946286,0.2953170999971917,0,27,0,0,144,1,0,0,1200.0
2025-04-05,12,27838.866540554074,0.3785356000007596,0,40,0,0,144,1,0,0,1200.0
2025-04-05,18,22780.78224877378,0.47398019999673124,0,67,0,0,144,1,0,0,1200.0
2025-04-06,0,40628.352057950025,0.08456370000203606,0,38,0,0,144,1,0,0,1200.0
2025-04-06,6,10582.381907711198,0.5444660000066506,0,39,0,0,144,1,0,0,1200.0
2025-04-06,12,16126.407523418591,0.14839460000803228,0,40,0,0,144,1,0,0,1200.0
2025-04-06,18,21759.82732717616,0.6768001000018558,0,50,0,0,144,1,0,0,1200.0
2025-04-07,0,36992.38419259723,0.18385529999795835,0,36,0,0,144,1,0,0,1200.0
2025-04-07,6,14623.804422687619,0.416714699997101,0,59,0,0,144,1,0,0,1200.0
2025-04-07,12,22326.74401680268,1.1625971000030404,0,47,0,0,144,1,0,0,1200.0
2025-04-07,18,21822.391447727896,0.35219030000735074,0,54,0,0,144,1,0,0,1200.0
2025-04-08,0,43772.88842448078,0.16520950000267476,0,38,0,0,144,1,0,0,1200.0
2025-04-08,6,9282.544143565427,0.3036739000090165,0,37,0,0,144,1,0,0,1200.0
2025-04-08,12,16768.3098687742,0.5609980000008363,0,52,0,0,144,1,0,0,1200.0
2025-04-08,18,26463.845562320537,0.25017729999672156,0,41,0,0,144,1,0,0,1200.0
2025-04-09,0,42592.06728816608,0.27389409999886993,0,40,0,0,144,1,0,0,1200.0
2025-04-09,6,9886.046665809683,0.5073427000024822,0,34,0,0,144,1,0,0,1200.0
2025-04-09,12,26995.888857000453,0.399797000005492,0,51,0,0,144,1,0,0,1200.0
2025-04-09,18,24258.81521055218,0.21419470000546426,0,42,0,0,144,1,0,0,1200.0
2025-04-10,0,41669.692689610245,0.501765199995134,0,37,0,0,144,1,0,0,1200.0
2025-04-10,6,7697.887021990722,0.10852660000091419,0,28,0,0,144,1,0,0,1200.0
2025-04-10,12,8750.19695774468,0.48502469999948516,0,29,0,0,144,1,0,0,1200.0
2025-04-10,18,9555.575593841799,0.07704299999750219,0,27,0,0,144,1,0,0,1200.0
2025-04-11,0,16984.712200287606,0.10312129999510944,0,4,0,0,144,1,0,0,1200.0
2025-04-11,6,8254.017727606924,0.09448790000169538,0,33,0,0,144,1,0,0,1200.0
2025-04-11,12,8427.685002239668,0.17207619998953305,0,29,0,0,144,1,0,0,1200.0
2025-04-11,18,8573.676797398588,0.5113745999988168,0,29,0,0,144,1,0,0,1200.0
2025-04-12,0,18360.534888616232,0.25809460000891704,0,7,0,0,144,1,0,0,1200.0
2025-04-12,6,10028.948677860457,0.2610440999997081,0,25,0,0,144,1,0,0,1200.0
2025-04-12,12,13658.611339074696,0.2782174999883864,0,39,0,0,144,1,0,0,1200.0
2025-04-12,18,27999.627768623875,0.8230501000070944,0,58,0,0,144,1,0,0,1200.0
2025-04-13,0,37529.64558817042,0.7294776000053389,0,35,0,0,144,1,0,0,1200.0
2025-04-13,6,10293.284734350975,0.05659110000124201,0,30,0,0,144,1,0,0,1200.0
2025-04-13,12,21069.607659473855,0.14482960000168532,0,53,0,0,144,1,0,0,1200.0
2025-04-13,18,24240.549546737202,0.2652184999897145,0,38,0,0,144,1,0,0,1200.0
2025-04-14,0,41796.3250402773,0.7320770999940578,0,37,0,0,144,1,0,0,1200.0
2025-04-14,6,8288.057193227656,0.07743170000321697,0,19,0,0,144,1,0,0,1200.0
2025-04-14,12,13315.282842969098,0.14597349999530707,0,51,0,0,144,1,0,0,1200.0
