date,issue_hour,objective,elapsed_s,lp_simultaneous_cd,lp_emergency_charge,final_simultaneous_cd,final_emergency_charge,binaries,iterations,status,terminal_soc,tolerance_retry
2025-04-08,18,25359.773589151628,0.3684284999908414,0,58,0,0,144,1,0,1200.0,
2025-04-09,0,42650.50558744865,0.2545676000008825,0,40,0,0,144,1,0,1200.0,
2025-04-09,6,9975.513604491198,0.5675750000082189,0,38,0,0,144,1,0,1200.0,
2025-04-09,12,27266.875886432776,0.34764540000469424,0,48,0,0,144,1,0,1200.0,
2025-04-09,18,23328.685775285132,0.5663728000072297,0,62,0,0,144,1,0,1200.0,
2025-04-10,0,41759.38563109068,0.25714429999061394,0,37,0,0,144,1,0,1200.0,
2025-04-10,6,7569.217784639503,0.9857413999998244,0,36,0,0,144,1,0,1200.0,
2025-04-10,12,8859.804326090993,0.7234597999922698,0,30,0,0,144,1,0,1200.0,
2025-04-10,18,9308.253787127844,0.14011769999342505,0,26,0,0,144,1,0,1200.0,
2025-04-11,0,16988.370179601512,0.5673339999921154,0,5,0,0,144,1,0,1200.0,
2025-04-11,6,8485.159631692275,0.3688345999980811,0,23,0,0,144,1,0,1200.0,
2025-04-11,12,9023.938293873654,0.1617977999994764,0,28,0,0,144,1,0,1200.0,
2025-04-11,18,9706.033060115598,0.18010310000681784,0,28,0,0,144,1,0,1200.0,
2025-04-12,0,18271.88105200743,0.5055072000104701,0,7,0,0,144,1,0,1200.0,
2025-04-12,6,9755.012979645418,1.1527727999928175,0,21,0,0,144,1,0,1200.0,
2025-04-12,12,14682.174601816685,0.18233939999481663,0,40,0,0,144,1,0,1200.0,
2025-04-12,18,28494.015762517774,0.3303064999927301,0,56,0,0,144,1,0,1200.0,
2025-04-13,0,37377.02880988607,0.9659734000015305,0,36,0,0,144,1,0,1200.0,
2025-04-13,6,10723.591854216591,0.11054069999954663,0,41,0,0,144,1,0,1200.0,
2025-04-13,12,20753.961209860714,0.120441099992604,0,52,0,0,144,1,0,1200.0,
2025-04-13,18,22525.506172799833,0.3478942000074312,0,62,0,0,144,1,0,1200.0,
2025-04-14,0,41893.21538857805,0.1896206999954302,0,37,0,0,144,1,0,1200.0,
2025-04-14,6,6165.010179051985,0.28168729999742936,0,22,0,0,144,1,0,1200.0,
2025-04-14,12,14868.450773840965,0.7658146000030683,0,71,0,0,144,1,0,1200.0,
2025-04-14,18,19276.741899264358,0.41052350000245497,0,65,0,0,144,1,0,1200.0,
2025-04-15,0,36110.64027798279,0.16793309999047779,0,32,0,0,144,1,0,1200.0,
2025-04-15,6,12927.422960949232,1.0954931000014767,0,30,0,0,144,1,0,1200.0,
2025-04-15,12,16486.48308464104,0.4476240000076359,0,45,0,0,144,1,0,1200.0,
2025-04-15,18,22968.891717720093,0.26196920000074897,0,60,0,0,144,1,0,1200.0,
2025-04-16,0,39774.86430203328,0.15853839999181218,0,39,0,0,144,1,0,1200.0,
2025-04-16,6,12071.73717471549,0.9183246000029612,0,35,0,0,144,1,0,1200.0,
