date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-09-09,2.2737367544323206e-13,6.821210263296962e-13,1.4139800441625994e-12,6.252776074688882e-13,1603.5862207388504,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-09-10,1.1368683772161603e-13,9.094947017729282e-13,2.3874235921539366e-12,4.547473508864641e-13,1200.0,10795.252994831097,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,819.7666666666667
2025-09-11,2.2737367544323206e-13,9.094947017729282e-13,1.5916157281026244e-12,3.410605131648481e-13,1583.5651221643134,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,827.1333673043105
2025-09-12,0.0,9.094947017729282e-13,1.0231815394945443e-12,4.547473508864641e-13,2565.2255430965533,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,583.2223166666666
2025-09-13,0.0,7.958078640513122e-13,8.810729923425242e-13,1.4708234630234074e-12,2177.0873519003026,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,571.3068333333333
2025-09-14,2.2737367544323206e-13,9.094947017729282e-13,2.0463630789890885e-12,3.410605131648481e-13,1200.0,10794.158700013591,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,818.4880333333333
2025-09-15,1.1368683772161603e-13,9.094947017729282e-13,1.8189894035458565e-12,1.0231815394945443e-12,1270.1332233741432,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,817.5170833333333
2025-09-16,1.1368683772161603e-13,9.094947017729282e-13,2.4158453015843406e-12,4.547473508864641e-13,1398.0729498823328,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,817.2126166666667
2025-09-17,0.0,9.094947017729282e-13,1.2505552149377763e-12,3.979039320256561e-13,1513.503863475053,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-09-18,1.1368683772161603e-13,7.958078640513122e-13,1.0231815394945443e-12,4.547473508864641e-13,1438.4314713138947,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,820.65630987833
2025-09-19,0.0,7.389644451905042e-13,1.0231815394945443e-12,9.094947017729282e-13,2874.7983774358026,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,545.1881666666666
2025-09-20,0.0,8.526512829121202e-13,1.8189894035458565e-12,5.115907697472721e-13,2434.5496312888354,10800.0,1199.999999999996,10800.0,0.0,0,0,0,0,833.3333333333333,572.0883333333334
2025-09-21,1.1368683772161603e-13,9.094947017729282e-13,2.7284841053187847e-12,2.0202839401406436e-11,1213.7178771256836,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,795.7716666666666
2025-09-22,2.2737367544323206e-13,9.094947017729282e-13,1.9326762412674725e-12,4.547473508864641e-13,1470.5004207214556,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,830.6076826568438
2025-09-23,1.1368683772161603e-13,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,1507.4109624416108,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,827.1781166666666
2025-09-24,0.0,9.094947017729282e-13,4.3655745685100555e-11,9.094947017729282e-13,1570.2134663941813,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,809.8714340055092
2025-09-25,0.0,9.094947017729282e-13,1.808331262509455e-12,4.547473508864641e-13,1555.9309500302659,10800.0,1199.9999999999989,10800.0,0.0,0,0,0,0,833.3333333333333,817.285
2025-09-26,0.0,7.958078640513122e-13,9.094947017729282e-13,2.2737367544323206e-13,2809.911083068685,10800.0,1199.9999999999993,10800.0,0.0,0,0,0,0,833.3333333333333,562.1766666666666
2025-09-27,1.1368683772161603e-13,9.094947017729282e-13,2.773958840407431e-11,5.684341886080801e-13,1956.3035045345566,10800.0,1199.9999999999993,10800.0,0.0,0,0,0,0,833.3333333333333,547.3333333333333
2025-09-28,0.0,9.094947017729282e-13,1.8189894035458565e-12,3.979039320256561e-13,1200.0,10779.450144496022,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,832.6415344473759
2025-09-29,0.0,9.094947017729282e-13,1.0231815394945443e-12,5.115907697472721e-13,1460.891348965376,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,824.6774514762402
2025-09-30,2.2737367544323206e-13,8.668621376273222e-13,1.5279510989785194e-10,3.5715430612981436e-11,1581.4366975774662,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-10-01,0.0,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,2288.2348704638252,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,816.4716666666666
2025-10-02,0.0,4.547473508864641e-13,1.4551915228366852e-11,4.547473508864641e-13,2296.889761575064,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,825.2356427627541
