date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-07-12,24h,36470.070173887245,33520.087966176885,28157.96116117704,5362.126804999842,2949.982207710362,893.3646641369943,21,8351.642863768026,0.9742967997444794,0.0,0.045601499994518235
2025-07-13,24h,81244.14573343593,45131.78580679162,44075.359113036975,1056.4266937546413,36112.359926644305,8186.770361312849,92,8195.173411742071,0.9647172011900693,0.0,0.04898890000185929
2025-07-14,24h,68252.87258833493,50531.57289421116,46956.644977379205,3574.927916831957,17721.299694123772,4137.0653851844345,65,8486.662750951153,1.1710620007943362,0.0,0.054824699996970594
2025-07-15,24h,67737.3797785558,50169.38491578784,49296.550504602434,872.8344111854061,17567.99486276795,4167.31253958761,57,8062.552285332724,1.1919204003643245,0.0,0.05245160000049509
2025-07-16,24h,66472.74058387053,50402.90632390155,48073.11688234838,2329.789441553171,16069.834259968971,3856.385612759353,48,8382.046142876019,1.0915200007148087,0.0,0.051591600000392646
2025-07-17,24h,68985.80329082615,50466.863680235496,46247.00724941821,4219.856430817289,18518.939610590664,4471.415338590456,59,7945.131405214023,1.1243015999207273,0.0,0.05243260000133887
2025-07-18,24h,34448.14538730798,33184.61981122457,35510.44659090193,-2325.8267796773557,1263.5255760834125,421.6258577607021,8,3696.0861680022686,1.1288160007679835,0.0,0.05207219999283552
2025-07-19,24h,38660.176531954785,35023.22776759701,29730.474085060272,5292.753682536735,3636.948764357775,1264.1147696297953,20,7931.030015134199,1.039874400361441,0.0,0.047772299993084744
2025-07-20,24h,79986.61504797949,45390.90841708488,41359.30229723381,4031.6061198510697,34595.706630894616,8006.649884509919,81,7627.999249925304,1.080172800226137,0.0,0.050299800001084805
2025-07-21,24h,68674.11714118575,52643.615518624596,50020.42027343286,2623.195245191736,16030.50162256115,3901.799216669815,57,5219.275375687911,0.9932112002279609,0.0,0.04441750000114553
2025-07-22,24h,73632.3038101175,55795.62366252423,47014.50645058321,8781.117211941022,17836.68014759328,4368.147222756638,65,6502.051694484202,1.1382731983903795,0.0,0.0510237000125926
2025-07-23,24h,74889.48753639933,54584.54969674295,53569.931136494124,1014.6185602488257,20304.937839656384,4574.295340329602,60,8581.242969690647,1.1887416013050824,0.0,0.05450349999591708
2025-07-24,24h,68478.07623830541,50276.52069787038,52992.22053633633,-2715.699838465952,18201.555540435027,4488.329093231562,68,2374.2830497394616,1.1644452007021755,0.0,0.055227400007424876
2025-07-25,24h,36529.97213250685,34995.43815807358,31995.55432258169,2999.883835491888,1534.533974433273,502.05181115607417,9,3529.879008990988,1.106258399784565,0.0,0.05160020000766963
2025-07-26,24h,34457.04307292276,30865.29757836714,27272.760331914244,3592.537246452894,3591.7454945556206,1097.2881368716885,19,4750.907188254347,1.1782692001434043,0.0,0.05246189999161288
2025-07-27,24h,86204.13825902902,48313.52830542467,39956.98033549741,8356.547969927264,37890.609953604355,8573.86165466638,89,8174.831200062315,1.2858479999704286,0.0,0.05590209999354556
2025-07-28,24h,71278.40214393614,52758.23584324203,48982.34398137853,3775.891861863502,18520.166300694105,4281.206076443387,62,8429.50385157293,1.1824596016667783,0.0,0.05520010000327602
2025-07-29,24h,68216.7773230628,53029.57666017017,47699.13447370482,5330.442186465346,15187.200662892628,3604.3383452912003,59,7283.623544338726,1.1251944004325196,0.0,0.05073039999115281
2025-07-30,24h,71146.11257935394,55391.30553975396,44059.492612062175,11331.812927691784,15754.807039599988,3822.724636114357,61,8666.572046136691,1.1309508002595976,0.0,0.0502044000022579
2025-07-31,24h,69035.89345872427,49337.95066816188,45729.41080602378,3608.539862138102,19697.94279056239,4497.350864364881,67,2238.7489702894527,1.1815668001072481,0.0,0.05309619999025017
2025-08-01,24h,34582.865764799295,32635.63832011685,31410.672707460722,1224.965612656127,1947.227444682447,699.2936123409007,9,3235.525167816075,1.022882400895469,0.0,0.048493699985556304
2025-08-02,24h,32712.013076542888,29497.334736414054,27748.345150261866,1748.9895861521882,3214.678340128835,1011.6959322743145,17,5041.522058571389,1.1176776008214802,0.0,0.05456330001470633
2025-08-03,24h,79791.1838154866,43920.4714115422,37570.901509398034,6349.569902144171,35870.712403944395,8269.604216108142,85,7097.609279657418,1.093337999889627,0.0,0.051939899974968284
2025-08-04,24h,63756.3365977283,46792.99927359203,44752.30943182796,2040.6898417640678,16963.33732413627,4150.628692634264,56,4828.25283926141,1.146319199935533,0.0,0.05584009998710826
2025-08-05,24h,64830.38571768705,49159.13056172438,43505.279970445656,5653.850591278719,15671.255155962675,3693.158411661344,51,8574.459587987225,1.1547468001954257,0.0,0.05401210000854917
2025-08-06,24h,67188.52351256472,49841.35342888671,48678.693360299774,1162.6600685869348,17347.170083678004,4210.167816495243,57,4853.955144238236,1.0809288007440045,0.0,0.051750399987213314
2025-08-07,24h,62027.24529407227,49103.542230001534,47188.721346761595,1914.8208832399407,12923.703064070738,3230.45754181462,47,2806.3402170527756,1.1689451993443072,0.0,0.053582900000037625
