date,24h,48h,delta_24h_minus_48h_yuan
2025-07-07,86511.97532665363,85229.68365907007,1282.2916675835586
2025-07-08,72566.13455237632,72284.2467349236,281.8878174527199
2025-07-09,67364.66865046041,67294.15594841166,70.51270204875618
2025-07-10,66928.33114340121,67871.70335887391,-943.3722154727002
2025-07-11,36998.46373309779,37467.16634233172,-468.70260923392925
2025-07-12,36470.070173887245,35105.5435420542,1364.5266318330468
2025-07-13,81244.14573343593,80226.24501273254,1017.9007207033865
2025-07-14,68252.87258833493,67475.86602635948,777.006561975446
2025-07-15,67737.3797785558,67722.43218778026,14.947590775540448
2025-07-16,66472.74058387053,66304.578244532,168.162339338538
2025-07-17,68985.80329082615,69666.46876390476,-680.6654730786104
2025-07-18,34448.14538730798,36091.036499522124,-1642.8911122141435
2025-07-19,38660.176531954785,39727.8892248138,-1067.712692859015
2025-07-20,79986.61504797949,79781.1389648767,205.47608310278156
2025-07-21,68674.11714118575,68456.65018668203,217.46695450371772
2025-07-22,73632.3038101175,73046.71599043428,585.58781968322
2025-07-23,74889.48753639933,74123.57360221117,765.9139341881673
2025-07-24,68478.07623830541,69428.90324996847,-950.8270116630592
2025-07-25,36529.97213250685,36563.35263430413,-33.38050179727725
2025-07-26,34457.04307292276,33014.30235287696,1442.7407200457965
2025-07-27,86204.13825902902,85528.17603870845,675.9622203205654
2025-07-28,71278.40214393614,70919.55685565293,358.8452882832062
2025-07-29,68216.7773230628,68229.80806777184,-13.030744709045393
2025-07-30,71146.11257935394,70268.2395431724,877.8730361815396
2025-07-31,69035.89345872427,69974.68971420718,-938.7962554829137
2025-08-01,34582.865764799295,37135.50859818707,-2552.6428333877775
2025-08-02,32712.013076542888,32689.22601290986,22.787063633026264
2025-08-03,79791.1838154866,78886.92735019834,904.2564652882575
2025-08-04,63756.3365977283,63345.920119553404,410.41647817489866
2025-08-05,64830.38571768705,63953.65943889166,876.726278795395
2025-08-06,67188.52351256472,66402.37515254886,786.1483600158535
2025-08-07,62027.24529407227,62525.82900129106,-498.583707218786
2025-08-08,31034.342993306098,33444.81506382476,-2410.472070518663
2025-08-09,33994.74210196825,34957.801867100075,-963.059765131824
2025-08-10,74006.61396106184,72260.4345989655,1746.1793620963435
2025-08-11,64534.62468284526,63247.131568829165,1287.4931140160916
2025-08-12,61749.65686922561,61858.84895361206,-109.19208438645
2025-08-13,64420.72770955544,63666.53313397081,754.1945755846318
2025-08-14,63083.696502463135,64206.01326639211,-1122.316763928975
2025-08-15,32129.38359783567,34717.79129703236,-2588.4076991966904
2025-08-16,35576.61040112883,36009.942792649,-433.33239152016904
2025-08-17,72936.64553316699,72222.46522505934,714.1803081076505
2025-08-18,65367.54282552314,64302.04020692711,1065.5026185960305
2025-08-19,66432.21154114492,65639.13180711392,793.0797340309946
